id,last_name,first_name,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,price_fanduel,price_yahoo,price_draftkings,price_draftday,price_starstreet,price_fantasyfeud,price_fanthrowdown,price_starfantasyleagues,price_fantasyaces,positions_fanduel,positions_yahoo,positions_draftkings,positions_draftday,positions_starstreet,positions_fantasyfeud,positions_fanthrowdown,positions_starfantasyleagues,positions_fantasyaces
3775,Dellavedova,Matthew,CLE,PG,NYK,27.00,7.06,0.94,2.40,4.52,0.62,0.03,1.02,1.76,0.72,0.11,2.70,4.31,0.01,0.00,4500,12,4800,8850,0,78100,0,9400,4200,PG,SG,PG,PG;SG,,,,G,G
2834,Hibbert,Roy,LAL,C,OKC,25.00,5.87,0.00,5.60,1.14,0.34,1.63,1.28,2.03,1.80,0.37,2.03,3.13,0.00,0.00,4700,14,4700,9250,0,74300,0,9500,4200,C,C,C,C,,C,,C,C
2814,Chalmers,Mario,MEM,PG,@ WAS,22.00,9.05,0.81,2.13,2.94,1.32,0.05,1.97,2.22,2.19,0.55,3.02,4.17,0.00,0.00,4200,10,3900,7250,0,62900,0,0,3850,PG,PG,PG,PG;SG,,,,G,G
2448,Johnson,Amir,BOS,C,@ CHA,21.00,6.38,0.28,5.36,1.58,0.45,0.88,1.29,2.41,0.73,0.54,2.69,2.60,0.01,0.00,4400,14,4400,8000,0,64700,0,8500,4000,C,PF,PF,PF;C,,,,F,F
3527,Jones,Terrence,HOU,PF,@ ORL,20.00,7.78,0.49,4.38,1.01,0.39,1.05,0.91,2.60,1.09,0.67,3.10,3.49,0.01,0.00,5000,17,4600,8800,0,63100,0,8200,4000,PF,PF,PF,SF;PF,,,,F,F
3287,Neal,Gary,WAS,SG,MEM,25.00,11.72,1.17,2.41,1.40,0.43,0.02,1.30,3.20,1.80,0.22,4.37,5.50,0.01,0.00,3800,11,4300,6600,0,59600,0,6600,3600,SG,SG,SG,PG;SG,,,,G,G
3047,Green,Danny,SAS,SG,@ MIN,23.00,7.96,1.62,3.31,1.85,0.73,0.60,1.11,1.20,0.71,0.10,2.81,3.82,0.01,0.00,3500,10,3800,7750,0,57500,0,6600,3900,SG,SG,SG,SG;SF,,,,G,G
3400,Thompson,Tristan,CLE,PF,NYK,21.00,5.73,0.00,7.20,0.56,0.33,0.36,0.57,2.28,1.17,0.67,2.28,1.95,0.02,0.00,4600,20,5000,8700,0,68400,0,9500,4200,PF,PF,PF,PF;C,,,,F,F
3930,Jokic,Nikola,DEN,C,@ PHO,19.00,7.69,0.07,4.78,0.99,0.81,0.40,1.31,2.81,1.87,0.56,2.87,2.53,0.01,0.00,4200,10,4000,7200,0,74500,0,8200,4000,C,C,C,C,,C,,C,C
3040,Mills,Patty,SAS,PG,@ MIN,21.00,8.89,1.62,1.81,2.24,1.13,0.06,0.87,1.81,0.42,0.10,3.43,4.29,0.00,0.00,3900,10,3700,7000,0,66200,0,7200,3800,PG,PG,PG,PG,,,,G,G
2295,Nelson,Jameer,DEN,PG,@ PHO,23.00,7.56,1.11,2.16,3.90,0.90,0.07,2.07,1.90,0.41,0.14,3.02,4.49,0.01,0.00,4600,14,5600,9150,0,85400,0,8700,4550,PG,PG,PG,PG,,,,G,G
2851,McGee,JaVale,DAL,C,@ BKN,17.00,7.75,0.00,4.75,0.27,0.25,1.35,1.26,3.37,1.01,0.69,3.37,2.47,0.01,0.00,3600,10,3100,5000,0,36600,0,4600,3500,C,C,C,C,,C,,C,C
