playernm_full,playernm_first,playernm_last,pos,team,numberfire_id,cbssports_id,espn_id,fantasypros_id,foxsports_id,rotogrinders_id,rotowire_id,rotoguru_id
"Riley Cooper (WR, PHI)",Riley,Cooper,WR, PHI,3155,1114590,13225,9720,4979,12497,6508,3898
"Javorius Allen (RB, BAL)",Javorius,Allen,RB, BAL,52797,1851113,17616,13944,5596,21557,10066,5370
"Luke Willson (TE, SEA)",Luke,Willson,TE, SEA,52184,2057661,16121,11812,5204,,8907,4578
"Ricardo Lockette (WR, SEA)",Ricardo,Lockette,WR, SEA,51463,1681620,14280,10090,5310,13070,8014,5144
"Devin Smith (WR, NYJ)",Devin,Smith,WR, NYJ,52795,1871319,17584,13974,5553,,,
"Josh Hill (TE, NO)",Josh,Hill,TE, NO,52369,2060083,16143,13565,5217,16957,9071,4586
"Gavin Escobar (TE, DAL)",Gavin,Escobar,TE, DAL,52088,1691546,15836,11693,5283,16584,8787,4570
"Justin Hardy (WR, ATL)",Justin,Hardy,WR, ATL,52792,1762379,17542,13970,5575,,10228,
"Johnny Manziel (QB, CLE)",Johnny,Manziel,QB, CLE,52423,1824921,16736,12089,5479,18057,9246,1438
"Chris Matthews (WR, SEA)",Chris,Matthews,WR, SEA,52752,1856325,17734,12200,5330,,9588,5368
"Andre Williams (RB, NYG)",Andre,Williams,RB, NYG,52440,1749684,16889,12106,5402,18220,9520,2934
"Scott Chandler (TE, NE)",Scott,Chandler,TE, NE,3136,408163,10572,9852,4832,11822,5303,4376
"Clay Harbor (TE, JAC)",Clay,Harbor,TE, JAC,2201,1682906,13376,9789,4919,11846,,4495
"Ty Montgomery (WR, GB)",Ty,Montgomery,WR, GB,52803,1851149,17611,13977,5566,21616,10216,5392
"Terrance West (RB, TEN)",Terrance,West,RB, TEN,52422,1829652,16783,12194,5481,18049,9282,2929
"Christine Michael (RB, DAL)",Christine,Michael,RB, DAL,52103,1700931,,11658,5311,,8758,2898
"Albert Wilson (WR, KC)",Albert,Wilson,WR, KC,52671,2130201,17182,12338,5426,18311,9491,5339
"B.J. Daniels (WR, SEA)",B.J.,Daniels,WR, SEA,52251,2057736,,11851,5193,,,
"Jaelen Strong (WR, HOU)",Jaelen,Strong,WR, HOU,52761,2061051,17709,13906,5572,,10023,
"Sammie Coates (WR, PIT)",Sammie,Coates,WR, PIT,52793,1824794,,13911,5564,21583,10211,
"Ryan Grant (WR, WSH)",Ryan,Grant,WR, WSH,52521,1680086,17179,12260,5242,11683,9462,2580
"Josh Robinson (RB, IND)",Josh,Robinson,RB, IND,52811,1878033,17622,13952,5621,21662,10194,5398
"Darrius Heyward-Bey (WR, PIT)",Darrius,Heyward-Bey,WR, PIT,1116,564881,12570,9156,4907,12237,5993,3848
"Phillip Dorsett (WR, IND)",Phillip,Dorsett,WR, IND,52794,1836058,17643,13979,5545,21666,10208,5384
"Daniel Fells (TE, NYG)",Daniel,Fells,TE, NYG,906,433568,10287,9144,4808,11814,5147,4337
"Jacob Tamme (TE, ATL)",Jacob,Tamme,TE, ATL,1189,421946,11373,9252,4849,11838,5780,4411
"Jason Avant (WR, KC)",Jason,Avant,WR, KC,559,405824,9695,9267,4830,12197,4823,3611
"Crockett Gillmore (TE, BAL)",Crockett,Gillmore,TE, BAL,52661,1752548,16775,12234,5365,18031,9555,4636
"Roy Helu (RB, OAK)",Roy,Helu,RB, OAK,4342,1272498,14192,9949,5105,11731,7366,2813
"Corey Fuller (WR, DET)",Corey,Fuller,WR, DET,52194,1763065,16014,11618,5435,,8809,5203
"Matt Spaeth (TE, PIT)",Matt,Spaeth,TE, PIT,937,421347,10521,9447,4834,,5304,4371
"Brandon Tate (WR, CIN)",Brandon,Tate,WR, CIN,1239,563223,12597,9068,4915,,,3860
"Maxx Williams (TE, BAL)",Maxx,Williams,TE, BAL,52791,1983769,17660,13919,5568,21555,10128,4650
"Tavon Austin (WR, STL)",Tavon,Austin,WR, STL,52055,1700338,15786,11625,5342,16562,8793,5199
"Louis Murphy (WR, TB)",Louis,Murphy,WR, TB,617,564165,12585,9401,4923,12220,,3820
"Dion Sims (TE, MIA)",Dion,Sims,TE, MIA,52141,1700507,15974,11691,5318,,,4576
"Rashad Greene (WR, JAC)",Rashad,Greene,WR,JAC,52832,1860750,17601,13972,5597,21670,10212,5391
"Tyler Lockett (WR, SEA)",Tyler,Lockett,WR,SEA,52807,1860834,17619,13971,5567,21808,10161,5386
"Russell Shepard (WR, TB)",Russell,Shepard,WR,TB,52266,2060184,16227,11601,5224,16611,,5223
"Isaiah Pead (RB, STL)",Isaiah,Pead,RB,STL,4472,1621321,14888,11195,5121,13569,8060,2860
"Dion Lewis (RB, NE)",Dion,Lewis,RB,NE,4361,1664753,14198,9983,5227,11768,7364,2816
"Craig Stevens (TE, TEN)",Craig,Stevens,TE,TEN,1313,421599,11319,9137,4823,,,4424
"Antonio Andrews (RB, TEN)",Antonio,Andrews,RB,TEN,52707,1776334,17149,12349,5459,,,2940
"Stepfan Taylor (RB, ARI)",Stepfan,Taylor,RB,ARI,52168,1685988,15981,11661,5266,,,2903
"Marquess Wilson (WR, CHI)",Marquess,Wilson,WR,CHI,52250,1765998,16023,11607,5444,16908,8813,5238
"LeGarrette Blount (RB, NE)",LeGarrette,Blount,RB,NE,2222,1620455,13213,9717,5127,11674,6482,2721
"C.J. Spiller (RB, NO)",C.J.,Spiller,RB,NO,2142,1127382,13203,9680,4990,11713,,2775
"Victor Cruz (WR, NYG)",Victor,Cruz,WR,NYG,3135,,,9790,4873,,,3900
"Todd Gurley (RB, STL)",Todd,Gurley,RB,STL,52800,2000877,,13912,5550,,,
"Rashad Greene (WR, JAC)",Rashad,Greene,WR,JAC,52832,1860750,17601,13972,5597,21670,10212,5391
"Darren Fells (TE, ARI)",Darren,Fells,TE,ARI,52604,2053740,17187,13636,4886,18365,9758,4609
"Matthew McGloin (QB, OAK)",Matthew,McGloin,QB,OAK,52351,2062479,,11907,5218,,,1437
"Lorenzo Taliaferro (RB, BAL)",Lorenzo,Taliaferro,RB,BAL,52451,2129490,16950,12257,5524,,,2975
"Marqise Lee (WR, JAC)",Marqise,Lee,WR,JAC,52437,1851123,,12120,5483,,9453,5256
"Rishard Matthews (WR, MIA)",Rishard,Matthews,WR,MIA,4523,1762335,15102,11380,5430,13642,8232,5182
"Willie Snead (WR, NO)",Willie,Snead,WR,NO,52821,2130155,17184,12904,5470,18053,,5287
"Lance Kendricks (TE, STL)",Lance,Kendricks,TE,STL,4324,1117803,14007,9912,4983,11831,7412,4538
"Anthony Fasano (TE, TEN)",Anthony,Fasano,TE,TEN,923,410446,9639,9023,4841,,4755,4327
"Devin Hester (WR, ATL)",Devin,Hester,WR,ATL,577,412717,9643,9191,4838,,,3593
